Название,Победитель,Год выпуска,Жанр,Страна выпуска,Рейтинг
А вот и мистер Джордан,False,1941,фэнтези,США,6.4
Один шаг в раю,False,1941,драма,США,5.4
Цветы в пыли,False,1941,драма,США,5.3
Великий диктатор,False,1940,драма,США,8.1
Ребекка,True,1940,триллер,США,7.9
Гроздья гнева,False,1940,драма,США,7.6
Филадельфийская история,False,1940,мелодрама,США,7.6
Иностранный корреспондент,False,1940,боевик,США,7.2
Все это и небо в придачу,False,1940,драма,США,7.2
Письмо,False,1940,фильм-нуар,США,6.9
Китти Фойль,False,1940,драма,США,6.7
Долгий путь домой,False,1940,драма,США,6.3
Наш город,False,1940,драма,США,5.3
Унесённые ветром,True,1939,мелодрама,США,8.4
Мистер Смит едет в Вашингтон,False,1939,драма,США,7.8
Ниночка,False,1939,мелодрама,США,7.7
Волшебник страны Оз,False,1939,мюзикл,США,7.6
Дилижанс,False,1939,драма,США,7.4
Победить темноту,False,1939,драма,США,7.1
"До свидания, мистер Чипс",False,1939,драма,Великобритания,7.0
Грозовой перевал,False,1939,драма,США,6.9
Любовный роман,False,1939,драма,США,6.9
О мышах и людях,False,1939,драма,США,6.8
Пигмалион,False,1938,драма,Великобритания,7.9
Великая иллюзия,False,1937,драма,Франция,7.8
С собой не унесешь,True,1938,драма,США,7.8
Иезавель,False,1938,драма,США,7.2
Летчик-испытатель,False,1938,драма,США,7.1
Приключения Робин Гуда,False,1938,боевик,США,7.0
Город мальчиков,False,1938,драма,США,6.8
Цитадель,False,1938,драма,Великобритания,6.3
Рэгтайм Бэнд Александра,False,1938,мюзикл,США,6.3
Четыре дочери,False,1938,драма,США,5.5
Потерянный горизонт,False,1937,фэнтези,США,7.4
Отважные капитаны,False,1937,драма,США,7.4
Дверь на сцену,False,1937,драма,США,7.2
Ужасная правда,False,1937,мелодрама,США,7.1
Тупик,False,1937,фильм-нуар,США,7.1
Звезда родилась,False,1937,драма,США,7.0
Жизнь Эмиля Золя,True,1937,драма,США,6.8
Сто мужчин и одна девушка,False,1937,драма,США,6.8
В старом Чикаго,False,1938,мюзикл,США,6.6
Благословенная земля,False,1937,драма,США,6.3
Мистер Дидс переезжает в город,False,1936,драма,США,7.4
Оклеветанная,False,1936,мелодрама,США,7.1
Сан-Франциско,False,1936,драма,США,7.1
Три милые девушки,False,1936,мюзикл,США,6.9
Повесть о Луи Пастере,False,1936,драма,США,6.8
Повесть о двух городах,False,1935,драма,США,6.7
Великий Зигфелд,True,1936,биография,США,6.4
Додсворт,False,1936,драма,США,6.4
Ромео и Джульетта,False,1936,драма,США,6.3
Антони-неудачник,False,1936,драма,США,5.7
Мятеж на Баунти,True,1935,драма,США,7.4
Цилиндр,False,1935,мюзикл,США,7.4
Одиссея капитана Блада,False,1935,боевик,США,7.2
Сон в летнюю ночь,False,1935,фэнтези,США,7.1
Осведомитель,False,1935,драма,США,6.9
Элис Адамс,False,1935,драма,США,6.7
Жизнь бенгальского улана,False,1935,драма,США,6.6
Отверженные,False,1935,драма,США,6.5
Дэвид Копперфилд,False,1935,драма,США,6.5
Рагглз из Ред-Геп,False,1935,мелодрама,США,6.2
Мелодия Бродвея 1936 года,False,1935,мюзикл,США,6.2
Капризная Мариетта,False,1935,мюзикл,США,5.6
Это случилось однажды ночью,True,1934,мелодрама,США,7.9
Тонкий человек,False,1934,мелодрама,США,7.1
Веселый развод,False,1934,мюзикл,США,7.0
Имитация жизни,False,1934,драма,США,6.6
Барреты с Уимпол-стрит,False,1934,драма,США,6.3
Клеопатра,False,1934,драма,США,6.2
Да здравствует Вилья!,False,1934,вестерн,США,6.0
